Selected,loan_amnt,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,open_acc,revol_bal,total_acc,application_type,default,term_m,int_rate_num,dti_clean,revol_util_clean,fico_mid,log_annual_inc,F_default,I_default,P_1,P_0,risk_band
0,4000,128.7,B,B3,3 years,RENT,100000,Not Verified,debt_consolidation,CA,13,84675,28,Individual,0,36,9.8,31.02,100,672,11.512925465,0,0,0.1178922484,0.8821077516,Low
0,7200,249.07,C,C5,2 years,RENT,55000,Source Verified,debt_consolidation,CA,12,4616,20,Individual,0,36,14.85,10.84,31.8,697,10.915088464,0,0,0.2093827038,0.7906172962,Medium
0,19925,608.3,G,G1,3 years,RENT,55400,Verified,debt_consolidation,MD,12,21025,19,Individual,0,60,26.99,19.41,68.5,667,10.922334873,0,1,0.6250584336,0.3749415664,High
0,10000,315.63,B,B1,< 1 year,RENT,120000,Not Verified,debt_consolidation,AZ,28,10515,34,Individual,0,36,8.49,9.44,31.3,697,11.695247022,0,0,0.1236455177,0.8763544823,Medium
0,11750,395.23,C,C2,2 years,RENT,28000,Source Verified,debt_consolidation,FL,11,6207,28,Individual,0,36,12.88,18.28,30.3,667,10.239959789,0,0,0.2267135003,0.7732864997,Medium
0,7500,233.27,A,A4,10+ years,OWN,26000,Not Verified,other,NY,13,2685,51,Individual,1,36,7.49,20.96,5.4,697,10.165851817,1,0,0.0587830737,0.9412169263,Low
0,15000,478.19,B,B2,5 years,RENT,50000,Not Verified,credit_card,NY,5,16482,10,Individual,0,36,9.17,28.15,51.5,697,10.819778284,0,0,0.1298151565,0.8701848435,Medium
0,33000,1169.82,D,D2,2 years,MORTGAGE,165000,Source Verified,debt_consolidation,IL,9,36204,34,Individual,1,36,16.59,14.69,79,667,12.013700753,1,0,0.2020059425,0.7979940575,Medium
0,12000,425.39,D,D2,10+ years,MORTGAGE,101550,Verified,credit_card,PA,27,25714,36,Individual,1,36,16.59,20.01,16.9,677,11.528306567,1,0,0.2742368713,0.7257631287,Medium
0,4000,131.87,B,B5,5 years,RENT,32500,Source Verified,debt_consolidation,CA,5,2542,12,Individual,0,36,11.48,33.46,48.9,682,10.388995368,0,0,0.1979202445,0.8020797555,Medium
0,13000,404.33,A,A4,< 1 year,MORTGAGE,80000,Not Verified,debt_consolidation,MN,14,4817,27,Individual,0,36,7.49,10.77,13.7,747,11.289781914,0,0,0.0388135751,0.9611864249,Low
0,15000,482.61,B,B3,3 years,RENT,70000,Verified,home_improvement,FL,17,17604,21,Individual,0,36,9.8,25.06,78.9,662,11.156250521,0,0,0.1997771892,0.8002228108,Medium
0,5000,157.82,B,B1,10+ years,MORTGAGE,195000,Source Verified,major_purchase,NJ,12,84853,23,Individual,0,36,8.49,14.17,98.8,692,12.180754838,0,0,0.0612204384,0.9387795616,Low
0,10000,321.74,B,B3,10+ years,MORTGAGE,75000,Not Verified,debt_consolidation,NY,12,7813,24,Individual,0,36,9.8,15.75,29.6,667,11.225243393,0,0,0.1052693789,0.8947306211,Low
0,5000,157.82,B,B1,10+ years,RENT,45000,Not Verified,debt_consolidation,NY,5,3121,12,Individual,0,36,8.49,2.93,37.6,677,10.714417769,0,0,0.0895933422,0.9104066578,Low
0,10000,345.92,C,C5,5 years,RENT,27000,Source Verified,major_purchase,LA,9,3806,26,Individual,1,36,14.85,25.91,25.4,697,10.203592145,1,0,0.2817573995,0.7182426005,Medium
0,35000,1162.34,C,C1,3 years,MORTGAGE,150000,Source Verified,credit_card,FL,8,24007,24,Individual,0,36,11.99,13.6,83.9,662,11.918390573,0,0,0.1465297576,0.8534702424,Medium
0,8000,246.99,A,A3,10+ years,OWN,60000,Source Verified,credit_card,MA,14,8560,43,Individual,0,36,6.99,14.05,19.1,717,11.002099841,0,0,0.0516090489,0.9483909511,Low
0,15000,482.61,B,B3,9 years,RENT,41000,Verified,credit_card,MA,15,8983,30,Individual,0,36,9.8,24.33,27,672,10.621327346,0,0,0.1934401022,0.8065598978,Medium
0,20000,492.66,D,D2,10+ years,MORTGAGE,68500,Verified,debt_consolidation,NY,14,799,49,Individual,0,60,16.59,32.31,20,662,11.134589024,0,0,0.4544514877,0.5455485123,High
0,10000,312.95,A,A5,4 years,RENT,36000,Verified,credit_card,TX,8,6570,15,Individual,0,36,7.91,19.63,34,692,10.491274217,0,0,0.0890792413,0.9109207587,Low
0,23750,570.14,D,D1,10+ years,OWN,54000,Not Verified,debt_consolidation,MI,11,24083,24,Individual,0,60,15.41,24.44,76,702,10.896739326,0,0,0.3316636703,0.6683363297,High
0,24000,739.85,A,A3,10+ years,MORTGAGE,140000,Source Verified,debt_consolidation,CA,10,79774,29,Individual,0,36,6.89,8.37,75,717,11.849397702,0,0,0.0291810462,0.9708189538,Low
0,6400,212.55,C,C1,10+ years,MORTGAGE,44000,Source Verified,debt_consolidation,MA,13,7864,33,Individual,1,36,11.99,20.13,66.1,672,10.691944913,1,0,0.1487967522,0.8512032478,Medium
0,32000,1133.74,D,D2,2 years,MORTGAGE,550000,Source Verified,other,WV,7,7290,30,Individual,0,36,16.55,4.43,91.1,672,13.217673557,0,0,0.1551830919,0.8448169081,Medium
0,15000,523,D,D1,< 1 year,RENT,49000,Source Verified,debt_consolidation,TX,17,23785,37,Individual,0,36,15.41,35.73,94.4,667,10.799575577,0,0,0.3272743021,0.6727256979,High
0,20000,656.86,B,B5,6 years,OWN,114000,Not Verified,debt_consolidation,CA,17,14784,29,Individual,0,36,11.22,14.14,41.2,672,11.643953727,0,0,0.1471931675,0.8528068325,Medium
0,28000,854.87,A,A2,8 years,RENT,150000,Not Verified,credit_card,NC,11,40452,41,Individual,0,36,6.24,19.66,67.3,722,11.918390573,0,0,0.0460135391,0.9539864609,Low
0,15300,576.35,E,E5,10+ years,RENT,45000,Source Verified,debt_consolidation,TX,17,2531,53,Individual,0,36,20.99,19.49,16.2,667,10.714417769,0,0,0.4086106754,0.5913893246,High
0,16000,500.58,A,A5,10+ years,OWN,110000,Verified,home_improvement,CA,15,110958,23,Individual,1,36,7.89,14.75,42.9,727,11.608235645,1,0,0.0467504621,0.9532495379,Low
0,12000,277.18,C,C4,10+ years,OWN,38000,Source Verified,debt_consolidation,FL,12,10380,39,Individual,0,60,13.67,19.24,30.7,667,10.545341439,0,0,0.3762427226,0.6237572774,High
0,11400,371.29,B,B4,7 years,RENT,76000,Verified,debt_consolidation,CA,16,14777,42,Individual,0,36,10.64,24.43,70,667,11.238488619,0,0,0.1692482563,0.8307517437,Medium
0,24000,788.24,B,B5,< 1 year,MORTGAGE,75000,Verified,debt_consolidation,MS,12,24077,28,Individual,1,36,11.22,24.56,75.2,662,11.225243393,1,0,0.1512822111,0.8487177889,Medium
0,16500,376.95,C,C3,2 years,MORTGAGE,85000,Source Verified,debt_consolidation,NV,19,8422,28,Individual,0,60,13.18,17.2,42.5,727,11.350406535,0,0,0.2634747154,0.7365252846,Medium
0,9600,297.57,A,A4,10+ years,MORTGAGE,82000,Not Verified,debt_consolidation,CA,15,18833,24,Individual,0,36,7.26,12.47,49.2,717,11.314474526,0,0,0.0427555047,0.9572444953,Low
0,10000,312.86,A,A5,3 years,RENT,50000,Verified,debt_consolidation,MI,8,3433,14,Individual,0,36,7.89,17.52,98.1,692,10.819778284,0,0,0.079054724,0.920945276,Low
0,3000,101.35,C,C3,< 1 year,RENT,40000,Verified,debt_consolidation,OH,8,5921,27,Individual,1,36,13.18,12.78,67.3,677,10.596634733,1,0,0.1803105899,0.8196894101,Medium
0,30000,1069.44,D,D3,5 years,MORTGAGE,80000,Source Verified,debt_consolidation,NY,11,13124,18,Individual,1,36,16.99,20.54,76.7,672,11.289781914,1,0,0.2788672275,0.7211327725,Medium
0,6000,189.08,B,B1,10+ years,RENT,75000,Source Verified,debt_consolidation,NY,10,19881,30,Individual,0,36,8.38,28.14,99.4,677,11.225243393,0,0,0.1204842915,0.8795157085,Medium
0,24000,788.24,B,B5,3 years,MORTGAGE,60000,Verified,debt_consolidation,CA,9,18828,14,Individual,0,36,11.22,14.6,67.5,667,11.002099841,0,0,0.1325846527,0.8674153473,Medium
0,10800,275.43,E,E1,10+ years,MORTGAGE,44267.52,Verified,debt_consolidation,AZ,9,5618,16,Individual,0,60,18.2,15.53,37.2,667,10.698006504,0,0,0.4320268949,0.5679731051,High
0,22000,701.34,B,B2,< 1 year,RENT,80000,Not Verified,credit_card,NY,6,23215,11,Individual,0,36,9.17,9.08,72.5,692,11.289781914,0,0,0.0972497539,0.9027502461,Low
0,14500,472.25,B,B4,6 years,RENT,75000,Source Verified,credit_card,NY,5,30696,7,Individual,0,36,10.64,18.8,96.8,702,11.225243393,0,0,0.1210821767,0.8789178233,Medium
0,35000,869.66,D,D3,10+ years,OWN,230000,Source Verified,credit_card,TX,29,45385,48,Individual,1,60,16.99,12.44,54.7,677,12.345834588,1,0,0.4051250824,0.5948749176,High
0,18400,452.85,D,D2,2 years,RENT,40000,Not Verified,debt_consolidation,FL,8,14899,13,Individual,0,60,16.55,37.49,87.1,732,10.596634733,0,0,0.4171249252,0.5828750748,High
0,35000,1172.39,C,C2,10+ years,MORTGAGE,90000,Source Verified,debt_consolidation,PA,20,63243,48,Individual,0,36,12.59,26.03,48.5,717,11.407564949,0,0,0.1491774121,0.8508225879,Medium
0,28000,658.5,C,C5,3 years,RENT,60000,Source Verified,debt_consolidation,MN,16,4135,49,Individual,0,60,14.48,23.72,20.6,722,11.002099841,0,0,0.3552308285,0.6447691715,High
0,5000,170.09,C,C4,2 years,MORTGAGE,34000,Source Verified,renewable_energy,FL,4,3806,8,Individual,0,36,13.67,11.05,44.3,667,10.434115804,0,0,0.1611075311,0.8388924689,Medium
0,25200,582.06,C,C4,10+ years,MORTGAGE,87000,Not Verified,debt_consolidation,TN,13,9288,23,Individual,0,60,13.67,20.79,52.2,712,11.373663398,0,0,0.2575549319,0.7424450681,Medium
0,5000,174.34,D,D1,4 years,MORTGAGE,70000,Source Verified,debt_consolidation,TX,7,2340,8,Individual,0,36,15.41,8.67,66.9,682,11.156250521,0,0,0.1544237932,0.8455762068,Medium
0,12000,298.17,D,D3,10+ years,OWN,99000,Not Verified,credit_card,CA,12,38342,20,Individual,0,60,16.99,25.76,87.1,672,11.502875129,0,0,0.4277642706,0.5722357294,High
0,35000,1006.68,F,F3,10+ years,MORTGAGE,85000,Verified,debt_consolidation,CO,10,62231,23,Individual,0,60,23.99,25.06,81.6,722,11.350406535,0,0,0.4079561698,0.5920438302,High
0,34125,1087.87,B,B2,7 years,MORTGAGE,101000,Source Verified,debt_consolidation,NJ,16,21263,39,Individual,0,36,9.17,21.17,27.1,717,11.522875796,0,0,0.0930950904,0.9069049096,Low
0,12200,415.02,C,C4,6 years,MORTGAGE,60000,Verified,debt_consolidation,MI,18,14642,26,Individual,1,36,13.67,12.02,63,667,11.002099841,1,0,0.1882181748,0.8117818252,Medium
0,4675,183.39,F,F3,2 years,RENT,15600,Verified,debt_consolidation,TX,6,6096,6,Individual,0,36,23.99,29.85,63.5,697,9.6550261932,0,0,0.3800333472,0.6199666528,High
0,30000,938.57,A,A5,7 years,MORTGAGE,68000,Source Verified,other,NY,15,7860,24,Individual,0,36,7.89,18.7,23.5,712,11.127262984,0,0,0.0616965271,0.9383034729,Low
0,4325,140.86,B,B4,9 years,RENT,161000,Verified,medical,CT,10,8489,24,Individual,0,36,10.64,12.04,80.8,712,11.989159644,0,0,0.1106252661,0.8893747339,Low
0,15000,502.46,C,C2,2 years,RENT,45000,Verified,debt_consolidation,CA,17,21423,24,Individual,1,36,12.59,27.36,65.3,662,10.714417769,1,0,0.2713288017,0.7286711983,Medium
0,30000,794.65,E,E4,10+ years,MORTGAGE,115000,Verified,debt_consolidation,MA,9,10779,14,Individual,1,60,19.99,15.76,30.1,692,11.652687407,1,0,0.4226577668,0.5773422332,High
0,13300,412.25,A,A4,< 1 year,MORTGAGE,69200,Not Verified,credit_card,NY,24,18023,46,Individual,0,36,7.26,7.25,27.2,752,11.144756142,0,0,0.0366662132,0.9633337868,Low
0,24000,732.74,A,A2,10+ years,MORTGAGE,165000,Not Verified,debt_consolidation,MD,8,706,23,Individual,0,36,6.24,6.71,1,747,12.013700753,0,0,0.0289065966,0.9710934034,Low
0,20000,616.54,A,A3,3 years,RENT,100000,Source Verified,credit_card,MN,8,10262,15,Individual,0,36,6.89,14.32,64.5,697,11.512925465,0,0,0.0667164301,0.9332835699,Low
0,12000,394.12,B,B5,10+ years,MORTGAGE,70000,Not Verified,home_improvement,FL,13,18154,23,Individual,0,36,11.22,33.94,51.1,727,11.156250521,0,0,0.1194711405,0.8805288595,Low
0,19700,762.48,F,F2,10+ years,RENT,54782,Verified,debt_consolidation,AZ,22,40329,30,Individual,1,36,22.99,34.44,60.6,662,10.911116952,1,1,0.5055215934,0.4944784066,High
0,18000,476.79,E,E4,5 years,MORTGAGE,44000,Source Verified,home_improvement,GA,9,4586,18,Individual,0,60,19.99,27.14,42.5,682,10.691944913,0,1,0.5177251598,0.4822748402,High
0,3600,117.25,B,B4,2 years,MORTGAGE,60000,Verified,credit_card,SC,28,13285,48,Individual,0,36,10.64,10.75,24.2,712,11.002099841,0,0,0.1025238604,0.8974761396,Low
0,4625,151.9,B,B5,2 years,MORTGAGE,133500,Source Verified,debt_consolidation,LA,11,3651,24,Individual,0,36,11.22,16.75,52.2,687,11.801856757,0,0,0.1034468632,0.8965531368,Low
0,15850,398.79,D,D4,2 years,RENT,65000,Verified,debt_consolidation,MN,14,9701,40,Individual,1,60,17.57,33.44,24.8,712,11.082142549,1,0,0.4968984863,0.5031015137,High
0,10000,328.43,B,B5,2 years,OWN,140000,Source Verified,credit_card,CT,42,61053,70,Individual,0,36,11.22,27.88,61.4,682,11.849397702,0,0,0.1829964834,0.8170035166,Medium
0,7000,227.98,B,B4,2 years,RENT,40000,Source Verified,debt_consolidation,IL,8,6035,10,Individual,1,36,10.64,18.18,56.9,677,10.596634733,1,0,0.1541254932,0.8458745068,Medium
0,12000,298.17,D,D3,1 year,RENT,75000,Verified,credit_card,MD,4,4489,7,Individual,1,60,16.99,12.78,99.8,677,11.225243393,1,0,0.4363844351,0.5636155649,High
0,3500,124.01,D,D2,6 years,RENT,25000,Not Verified,other,IL,7,2114,16,Individual,1,36,16.55,29.62,39,667,10.126631104,1,0,0.2871962471,0.7128037529,Medium
0,18700,537.86,F,F3,5 years,RENT,55000,Verified,other,NJ,17,15474,28,Individual,0,60,23.99,33.76,57.5,677,10.915088464,0,1,0.6591263344,0.3408736656,High
0,22900,788.02,C,C5,9 years,MORTGAGE,55000,Not Verified,credit_card,TX,18,31920,31,Individual,0,36,14.48,31.41,71.6,677,10.915088464,0,0,0.2446988281,0.7553011719,Medium
0,2000,62,A,A4,10+ years,RENT,58386,Not Verified,credit_card,TX,8,6383,12,Individual,0,36,7.26,12.31,14.7,782,10.974831414,0,0,0.0394787471,0.9605212529,Low
0,2500,90.21,D,D5,10+ years,MORTGAGE,60000,Verified,debt_consolidation,WV,7,2422,43,Individual,0,36,17.86,13.9,44,677,11.002099841,0,0,0.1792581748,0.8207418252,Medium
0,16950,417.17,D,D2,3 years,MORTGAGE,65000,Source Verified,debt_consolidation,FL,17,33986,30,Individual,0,60,16.55,18.43,60.3,682,11.082142549,0,0,0.3720553273,0.6279446727,High
0,14000,464.94,C,C1,4 years,RENT,75000,Source Verified,debt_consolidation,NY,25,26772,42,Individual,1,36,11.99,37.22,60,662,11.225243393,1,0,0.2971438317,0.7028561683,Medium
0,23000,833.82,E,E1,< 1 year,MORTGAGE,49700,Verified,debt_consolidation,ME,13,11436,21,Joint App,1,36,18.2,28.13,42.8,702,10.813760212,1,0,0.230395576,0.769604424,Medium
0,5650,192.2,C,C4,2 years,RENT,54000,Source Verified,debt_consolidation,MI,7,0,15,Individual,0,36,13.67,16.51,0,722,10.896739326,0,0,0.1746756189,0.8253243811,Medium
0,10000,312.86,A,A5,< 1 year,OWN,44000,Source Verified,debt_consolidation,AZ,15,8759,32,Individual,0,36,7.89,24.36,27.1,692,10.691944913,0,0,0.0870106371,0.9129893629,Low
0,2500,89.12,D,D3,10+ years,RENT,82000,Not Verified,other,SC,11,11739,21,Individual,1,36,16.99,32.45,65.2,677,11.314474526,1,0,0.2735616848,0.7264383152,Medium
0,24000,732.74,A,A2,< 1 year,MORTGAGE,120000,Not Verified,debt_consolidation,WI,20,71560,37,Individual,0,36,6.24,25.68,49.4,737,11.695247022,0,0,0.038600694,0.961399306,Low
0,12000,394.12,B,B5,7 years,MORTGAGE,112320,Verified,debt_consolidation,CA,6,14853,20,Individual,0,36,11.22,20.8,74.3,677,11.629107219,0,0,0.1092569651,0.8907430349,Low
0,18000,586.24,B,B4,10+ years,RENT,88000,Verified,debt_consolidation,MD,16,12225,30,Individual,0,36,10.64,14.56,36.9,677,11.385092093,0,0,0.1652856214,0.8347143786,Medium
0,21600,507.99,C,C5,10+ years,MORTGAGE,98000,Not Verified,debt_consolidation,OH,15,16569,25,Individual,0,60,14.48,26.7,62.5,677,11.492722758,0,0,0.3480508466,0.6519491534,High
0,10000,276.14,F,F1,< 1 year,MORTGAGE,52000,Source Verified,major_purchase,AR,6,5487,10,Individual,0,60,21.99,19.55,71.3,667,10.858998998,0,0,0.4874082822,0.5125917178,High
0,8000,270.25,C,C3,10+ years,RENT,75000,Source Verified,debt_consolidation,NY,6,7650,6,Individual,0,36,13.18,3.49,62.2,662,11.225243393,0,0,0.1819419145,0.8180580855,Medium
0,12000,288.07,D,D1,8 years,MORTGAGE,68500,Source Verified,debt_consolidation,TX,8,7741,11,Individual,1,60,15.41,28.5,47.8,687,11.134589024,1,0,0.3937949647,0.6062050353,High
0,8000,252.1,B,B1,10+ years,RENT,47000,Source Verified,debt_consolidation,NJ,8,10492,17,Individual,0,36,8.38,16.73,48.1,672,10.757902881,0,0,0.1229129948,0.8770870052,Medium
0,5525,195.75,D,D2,8 years,MORTGAGE,75000,Source Verified,debt_consolidation,MD,15,13049,34,Individual,0,36,16.55,33.3,74.6,682,11.225243393,0,0,0.2419431294,0.7580568706,Medium
0,9000,289.4,B,B3,10+ years,MORTGAGE,105000,Source Verified,debt_consolidation,MA,8,10433,18,Individual,0,36,9.76,3.18,74,682,11.561715629,0,0,0.0738552277,0.9261447723,Low
0,5000,152.66,A,A2,10+ years,RENT,41000,Source Verified,credit_card,NV,8,4706,8,Individual,0,36,6.24,8.42,13.2,752,10.621327346,0,0,0.0462592691,0.9537407309,Low
0,28000,911.92,B,B4,5 years,MORTGAGE,95000,Verified,home_improvement,NY,12,83693,33,Individual,1,36,10.64,18.03,78,707,11.461632171,1,0,0.0869221301,0.9130778699,Low
0,20000,610.62,A,A2,< 1 year,MORTGAGE,90000,Not Verified,credit_card,GA,11,3885,23,Individual,0,36,6.24,27.42,12.6,757,11.407564949,0,0,0.0416039031,0.9583960969,Low
0,8000,272.15,C,C4,1 year,RENT,41500,Source Verified,credit_card,WA,5,10310,6,Individual,0,36,13.67,11.65,89.7,672,10.633448706,0,0,0.2012656373,0.7987343627,Medium
0,19675,504.88,E,E2,9 years,MORTGAGE,53000,Verified,debt_consolidation,CA,13,14978,23,Individual,1,60,18.49,28.53,47.9,677,10.878047193,1,0,0.485403866,0.514596134,High
0,7000,232.47,C,C1,9 years,MORTGAGE,47000,Verified,debt_consolidation,TN,9,2985,26,Individual,1,36,11.99,32.66,30.8,712,10.757902881,1,0,0.1569516342,0.8430483658,Medium
0,10000,248.48,D,D3,2 years,RENT,60000,Not Verified,credit_card,CT,7,8303,10,Individual,0,60,16.99,12.18,32.1,697,11.002099841,0,0,0.4046291901,0.5953708099,High
0,24000,548.29,C,C3,10+ years,MORTGAGE,125000,Not Verified,debt_consolidation,AZ,11,14287,17,Individual,0,60,13.18,7.79,47.9,697,11.736069016,0,0,0.2171594027,0.7828405973,Medium
0,18000,608.06,C,C3,< 1 year,RENT,55000,Source Verified,debt_consolidation,MN,30,10880,56,Individual,0,36,13.18,23.87,27.5,692,10.915088464,0,0,0.2822290941,0.7177709059,Medium
0,7450,280.65,E,E5,2 years,OWN,40000,Source Verified,debt_consolidation,GA,7,1673,26,Individual,1,36,20.99,15.81,36.4,682,10.596634733,1,0,0.2867376611,0.7132623389,Medium
0,6500,217.73,C,C2,4 years,MORTGAGE,88500,Source Verified,debt_consolidation,PA,31,12015,61,Individual,1,36,12.59,33.25,83.4,672,11.390757831,1,0,0.2138225475,0.7861774525,Medium
0,22000,458.51,B,B2,10+ years,MORTGAGE,62800,Not Verified,debt_consolidation,CA,28,14744,40,Individual,0,60,9.17,13.54,24.6,712,11.047710352,0,0,0.1774163317,0.8225836683,Medium
0,16000,481.84,A,A1,10+ years,RENT,72000,Not Verified,debt_consolidation,NY,28,17787,38,Individual,1,36,5.32,22,32.4,722,11.184421398,1,0,0.0704848254,0.9295151746,Low
0,28425,960.22,C,C3,10+ years,MORTGAGE,400000,Source Verified,debt_consolidation,IL,18,35257,35,Individual,0,36,13.18,14.54,63.5,677,12.899219826,0,0,0.1609340847,0.8390659153,Medium
0,7000,210.81,A,A1,10+ years,MORTGAGE,300000,Source Verified,credit_card,PA,15,110065,29,Individual,0,36,5.32,14.82,57.6,722,12.611537754,0,0,0.0245798757,0.9754201243,Low
0,5500,175.34,B,B2,10+ years,OWN,70000,Source Verified,credit_card,FL,3,8712,11,Individual,0,36,9.17,2.18,85.4,662,11.156250521,0,0,0.0841321753,0.9158678247,Low
0,16000,369.57,C,C4,3 years,RENT,95000,Not Verified,debt_consolidation,CA,8,36888,13,Individual,1,60,13.67,20.52,86.4,697,11.461632171,1,0,0.3147017681,0.6852982319,High
0,10800,246.73,C,C3,< 1 year,RENT,52500,Source Verified,credit_card,CA,16,7990,47,Individual,0,60,13.18,26.54,32,702,10.868568449,0,0,0.3910526818,0.6089473182,High
0,24000,788.24,B,B5,1 year,RENT,65000,Source Verified,credit_card,CA,10,22266,26,Individual,1,36,11.22,20.2,52.1,682,11.082142549,1,0,0.1711491261,0.8288508739,Medium
0,35000,1262.88,D,D5,8 years,MORTGAGE,120000,Verified,debt_consolidation,GA,12,20682,31,Individual,0,36,17.86,17.57,63.2,672,11.695247022,0,0,0.2896170747,0.7103829253,Medium
0,17600,437.32,D,D3,5 years,RENT,76650,Source Verified,debt_consolidation,CA,12,19794,17,Individual,0,60,16.99,20.95,61.9,687,11.247004884,0,0,0.4750505163,0.5249494837,High
0,10000,308.27,A,A3,10+ years,MORTGAGE,76000,Not Verified,debt_consolidation,PA,6,5003,15,Individual,0,36,6.89,9.02,43,682,11.238488619,0,0,0.0438178652,0.9561821348,Low
0,21000,485.05,C,C4,10+ years,MORTGAGE,85000,Source Verified,debt_consolidation,PA,8,8425,28,Individual,0,60,13.67,9.83,27.6,687,11.350406535,0,0,0.2508330388,0.7491669612,Medium
0,21000,531.67,D,D5,< 1 year,MORTGAGE,120000,Not Verified,debt_consolidation,SC,9,6597,32,Individual,0,60,17.86,25.59,25.7,692,11.695247022,0,0,0.3807783,0.6192217,High
0,20000,619.93,A,A4,9 years,MORTGAGE,150000,Not Verified,credit_card,NY,12,7470,17,Individual,0,36,7.26,20.14,19.7,762,11.918390573,0,0,0.042394417,0.957605583,Low
0,5000,152.66,A,A2,10+ years,MORTGAGE,78000,Source Verified,car,CA,9,19948,20,Individual,0,36,6.24,7.23,57.7,692,11.264464106,0,0,0.0363575262,0.9636424738,Low
0,18000,380.33,B,B3,3 years,MORTGAGE,65000,Not Verified,credit_card,OH,13,9405,24,Individual,0,60,9.76,29.54,25.8,732,11.082142549,0,0,0.1815723214,0.8184276786,Medium
0,12800,263.99,C,C1,4 years,MORTGAGE,75000,Not Verified,debt_consolidation,SC,13,22211,37,Individual,0,60,6,14.11,58.8,692,11.225243393,0,0,0.1238438593,0.8761561407,Medium
0,5000,150.58,A,A1,3 years,RENT,48000,Source Verified,credit_card,OR,3,152,11,Individual,0,36,5.32,1.08,0.4,782,10.77895629,0,0,0.0277133286,0.9722866714,Low
